"Month";"car_manufacturer_name";"car_modification";"year_start";"year_end";"parts_on_sale";"newly_listed_parts";"sold_in_30_days";"sold_in_60_days";"sold_parts";"unique_monthly_cookies"
2021-07-01;"car_manufacturer_1";"car_modification_4";"1990";"1997";0;0;0;0;0;3
2021-08-01;"car_manufacturer_1";"car_modification_4";"1990";"1997";0;0;0;0;0;2
2021-09-01;"car_manufacturer_1";"car_modification_4";"1990";"1997";0;0;0;0;0;15
2021-10-01;"car_manufacturer_1";"car_modification_4";"1990";"1997";0;0;0;0;0;11
2021-11-01;"car_manufacturer_1";"car_modification_4";"1990";"1997";8;8;0;0;0;4
2021-12-01;"car_manufacturer_1";"car_modification_4";"1990";"1997";9;1;0;0;0;1
2022-01-01;"car_manufacturer_1";"car_modification_4";"1990";"1997";2;0;0;0;0;4
2022-02-01;"car_manufacturer_1";"car_modification_4";"1990";"1997";2;0;0;0;0;4
2021-05-01;"car_manufacturer_1";"car_modification_5";"1997";"2015";0;0;0;0;0;3
2021-06-01;"car_manufacturer_1";"car_modification_5";"1997";"2015";0;0;0;0;0;5
2021-07-01;"car_manufacturer_1";"car_modification_5";"1997";"2015";0;0;0;0;0;4
2021-08-01;"car_manufacturer_1";"car_modification_5";"1997";"2015";1;1;0;0;0;4
2021-09-01;"car_manufacturer_1";"car_modification_5";"1997";"2015";1;0;0;0;0;13
2021-10-01;"car_manufacturer_1";"car_modification_5";"1997";"2015";1;0;0;0;0;11
2021-11-01;"car_manufacturer_1";"car_modification_5";"1997";"2015";2;1;0;0;0;7
2021-12-01;"car_manufacturer_1";"car_modification_5";"1997";"2015";2;0;0;0;0;4
2022-01-01;"car_manufacturer_1";"car_modification_5";"1997";"2015";1;0;0;0;0;7
2022-02-01;"car_manufacturer_1";"car_modification_5";"1997";"2015";1;0;0;0;0;2
2021-05-01;"car_manufacturer_1";"car_modification_6";"1979";"1986";0;0;0;0;0;1
2021-06-01;"car_manufacturer_1";"car_modification_6";"1979";"1986";0;0;0;0;0;1
2021-07-01;"car_manufacturer_1";"car_modification_6";"1979";"1986";0;0;0;0;0;4
2021-08-01;"car_manufacturer_1";"car_modification_6";"1979";"1986";0;0;0;0;0;1
2021-09-01;"car_manufacturer_1";"car_modification_6";"1979";"1986";0;0;0;0;0;6
2021-10-01;"car_manufacturer_1";"car_modification_6";"1979";"1986";0;0;0;0;0;10
2021-11-01;"car_manufacturer_1";"car_modification_6";"1979";"1986";5;5;0;0;0;1
2021-12-01;"car_manufacturer_1";"car_modification_6";"1979";"1986";5;0;0;0;0;0
2022-01-01;"car_manufacturer_1";"car_modification_6";"1979";"1986";31;31;0;0;0;4
2022-02-01;"car_manufacturer_1";"car_modification_6";"1979";"1986";341;315;0;0;0;0
2021-05-01;"car_manufacturer_2";"car_modification_7";"1996";"1999";0;0;0;0;0;90
2021-06-01;"car_manufacturer_2";"car_modification_7";"1996";"1999";0;0;0;0;0;21
2021-07-01;"car_manufacturer_2";"car_modification_7";"1996";"1999";0;0;0;0;0;16
2021-08-01;"car_manufacturer_2";"car_modification_7";"1996";"1999";0;0;0;0;0;24
2021-09-01;"car_manufacturer_2";"car_modification_7";"1996";"1999";0;0;0;0;0;24
2021-10-01;"car_manufacturer_2";"car_modification_7";"1996";"1999";0;0;0;0;0;25
2021-11-01;"car_manufacturer_2";"car_modification_7";"1996";"1999";2;2;0;0;0;13
2021-12-01;"car_manufacturer_2";"car_modification_7";"1996";"1999";3;1;0;0;0;0
2022-01-01;"car_manufacturer_2";"car_modification_7";"1996";"1999";0;0;0;0;0;14
2022-02-01;"car_manufacturer_2";"car_modification_7";"1996";"1999";0;0;0;0;0;6
2021-05-01;"car_manufacturer_2";"car_modification_8";"2001";"2003";0;0;0;0;0;22
2021-06-01;"car_manufacturer_2";"car_modification_8";"2001";"2003";0;0;0;0;0;14
2021-07-01;"car_manufacturer_2";"car_modification_8";"2001";"2003";0;0;0;0;0;12
2021-08-01;"car_manufacturer_2";"car_modification_8";"2001";"2003";0;0;0;0;0;19
2021-09-01;"car_manufacturer_2";"car_modification_8";"2001";"2003";0;0;0;0;0;16
2021-10-01;"car_manufacturer_2";"car_modification_8";"2001";"2003";0;0;0;0;0;11
2021-11-01;"car_manufacturer_2";"car_modification_8";"2001";"2003";1;1;0;0;0;11
2021-12-01;"car_manufacturer_2";"car_modification_8";"2001";"2003";1;0;0;0;0;2
2022-01-01;"car_manufacturer_2";"car_modification_8";"2001";"2003";0;0;0;0;0;6
2022-02-01;"car_manufacturer_2";"car_modification_8";"2001";"2003";0;0;0;0;0;1
2021-05-01;"car_manufacturer_2";"car_modification_9";"2013";"";366;2;0;0;0;22
2021-06-01;"car_manufacturer_2";"car_modification_9";"2013";"";365;0;0;0;1;14
2021-07-01;"car_manufacturer_2";"car_modification_9";"2013";"";364;0;0;0;0;14
2021-08-01;"car_manufacturer_2";"car_modification_9";"2013";"";364;0;0;0;9;14
2021-09-01;"car_manufacturer_2";"car_modification_9";"2013";"";355;0;0;0;1;15
2021-10-01;"car_manufacturer_2";"car_modification_9";"2013";"";355;1;0;0;2;14
2021-11-01;"car_manufacturer_2";"car_modification_9";"2013";"";351;3;0;0;0;14
2021-12-01;"car_manufacturer_2";"car_modification_9";"2013";"";352;1;0;0;1;8
2022-01-01;"car_manufacturer_2";"car_modification_9";"2013";"";348;1;0;0;2;12
2022-02-01;"car_manufacturer_2";"car_modification_9";"2013";"";346;0;0;0;1;2
2021-05-01;"car_manufacturer_2";"car_modification_10";"1985";"1990";0;0;0;0;0;13
2021-06-01;"car_manufacturer_2";"car_modification_10";"1985";"1990";0;0;0;0;0;11
2021-07-01;"car_manufacturer_2";"car_modification_10";"1985";"1990";0;0;0;0;0;6
2021-08-01;"car_manufacturer_2";"car_modification_10";"1985";"1990";0;0;0;0;0;6
2021-09-01;"car_manufacturer_2";"car_modification_10";"1985";"1990";0;0;0;0;0;11
2021-10-01;"car_manufacturer_2";"car_modification_10";"1985";"1990";0;0;0;0;0;16
2021-11-01;"car_manufacturer_2";"car_modification_10";"1985";"1990";0;0;0;0;0;6
2021-12-01;"car_manufacturer_2";"car_modification_10";"1985";"1990";0;0;0;0;0;2
2022-01-01;"car_manufacturer_2";"car_modification_10";"1985";"1990";0;0;0;0;0;4
2022-02-01;"car_manufacturer_2";"car_modification_10";"1985";"1990";0;0;0;0;0;4
2021-05-01;"car_manufacturer_2";"car_modification_11";"1990";"1993";2;0;0;0;0;11
2021-06-01;"car_manufacturer_2";"car_modification_11";"1990";"1993";2;0;0;0;0;6
2021-07-01;"car_manufacturer_2";"car_modification_11";"1990";"1993";2;0;0;0;0;6
2021-08-01;"car_manufacturer_2";"car_modification_11";"1990";"1993";2;0;0;0;0;7
2021-09-01;"car_manufacturer_2";"car_modification_11";"1990";"1993";2;0;0;0;0;11
2021-10-01;"car_manufacturer_2";"car_modification_11";"1990";"1993";2;0;0;0;0;14
2021-11-01;"car_manufacturer_2";"car_modification_11";"1990";"1993";2;0;0;0;0;3
2021-12-01;"car_manufacturer_2";"car_modification_11";"1990";"1993";2;0;0;0;0;3
2022-01-01;"car_manufacturer_2";"car_modification_11";"1990";"1993";2;0;0;0;0;3
2022-02-01;"car_manufacturer_2";"car_modification_11";"1990";"1993";2;0;0;0;0;0
2021-05-01;"car_manufacturer_2";"car_modification_12";"1993";"2001";3;0;0;0;0;10
2021-06-01;"car_manufacturer_2";"car_modification_12";"1993";"2001";3;0;0;0;0;8
2021-07-01;"car_manufacturer_2";"car_modification_12";"1993";"2001";3;0;0;0;0;6
2021-08-01;"car_manufacturer_2";"car_modification_12";"1993";"2001";3;0;0;0;0;10
2021-09-01;"car_manufacturer_2";"car_modification_12";"1993";"2001";8;5;0;0;0;11
2021-10-01;"car_manufacturer_2";"car_modification_12";"1993";"2001";8;0;0;0;0;16
2021-11-01;"car_manufacturer_2";"car_modification_12";"1993";"2001";11;3;0;0;0;4
2021-12-01;"car_manufacturer_2";"car_modification_12";"1993";"2001";11;1;0;0;0;2
2022-01-01;"car_manufacturer_2";"car_modification_12";"1993";"2001";10;0;0;0;0;6
2022-02-01;"car_manufacturer_2";"car_modification_12";"1993";"2001";10;0;0;0;0;3
2021-05-01;"car_manufacturer_2";"car_modification_13";"1986";"1990";5;0;0;0;0;13
2021-06-01;"car_manufacturer_2";"car_modification_13";"1986";"1990";5;0;0;0;0;6
2021-07-01;"car_manufacturer_2";"car_modification_13";"1986";"1990";5;0;0;0;0;4
2021-08-01;"car_manufacturer_2";"car_modification_13";"1986";"1990";6;1;0;0;0;6
2021-09-01;"car_manufacturer_2";"car_modification_13";"1986";"1990";18;12;0;0;0;7
2021-10-01;"car_manufacturer_2";"car_modification_13";"1986";"1990";31;13;0;0;0;11
2021-11-01;"car_manufacturer_2";"car_modification_13";"1986";"1990";48;17;0;0;0;4
2021-12-01;"car_manufacturer_2";"car_modification_13";"1986";"1990";48;0;0;0;0;1
2022-01-01;"car_manufacturer_2";"car_modification_13";"1986";"1990";45;0;0;0;0;5
2022-02-01;"car_manufacturer_2";"car_modification_13";"1986";"1990";45;0;0;0;0;1
2021-05-01;"car_manufacturer_2";"car_modification_14";"1991";"1995";0;0;0;0;0;9
2021-06-01;"car_manufacturer_2";"car_modification_14";"1991";"1995";0;0;0;0;0;8
2021-07-01;"car_manufacturer_2";"car_modification_14";"1991";"1995";0;0;0;0;0;6
2021-08-01;"car_manufacturer_2";"car_modification_14";"1991";"1995";0;0;0;0;0;6
2021-09-01;"car_manufacturer_2";"car_modification_14";"1991";"1995";1;1;0;0;0;10
2021-10-01;"car_manufacturer_2";"car_modification_14";"1991";"1995";3;2;0;0;0;10
2021-11-01;"car_manufacturer_2";"car_modification_14";"1991";"1995";4;1;0;0;0;5
2021-12-01;"car_manufacturer_2";"car_modification_14";"1991";"1995";3;0;0;0;0;0
2022-01-01;"car_manufacturer_2";"car_modification_14";"1991";"1995";2;0;0;0;0;2
2022-02-01;"car_manufacturer_2";"car_modification_14";"1991";"1995";2;0;0;0;0;1
2021-05-01;"car_manufacturer_2";"car_modification_15";"2000";"2006";13;2;0;0;0;16
2021-06-01;"car_manufacturer_2";"car_modification_15";"2000";"2006";20;7;0;0;0;13
2021-07-01;"car_manufacturer_2";"car_modification_15";"2000";"2006";19;0;0;0;0;12
2021-08-01;"car_manufacturer_2";"car_modification_15";"2000";"2006";20;1;0;0;0;8
2021-09-01;"car_manufacturer_2";"car_modification_15";"2000";"2006";23;3;0;0;2;18
2021-10-01;"car_manufacturer_2";"car_modification_15";"2000";"2006";21;0;0;0;0;14
2021-11-01;"car_manufacturer_2";"car_modification_15";"2000";"2006";25;4;0;0;0;6
2021-12-01;"car_manufacturer_2";"car_modification_15";"2000";"2006";22;1;0;0;0;2
2022-01-01;"car_manufacturer_2";"car_modification_15";"2000";"2006";18;0;0;0;0;9
2022-02-01;"car_manufacturer_2";"car_modification_15";"2000";"2006";18;0;0;0;0;2
2021-05-01;"car_manufacturer_2";"car_modification_16";"2007";"2013";27;4;0;0;0;27
2021-06-01;"car_manufacturer_2";"car_modification_16";"2007";"2013";34;7;0;0;0;21
2021-07-01;"car_manufacturer_2";"car_modification_16";"2007";"2013";34;0;0;0;0;23
2021-08-01;"car_manufacturer_2";"car_modification_16";"2007";"2013";36;2;0;0;0;11
2021-09-01;"car_manufacturer_2";"car_modification_16";"2007";"2013";38;2;0;0;0;22
2021-10-01;"car_manufacturer_2";"car_modification_16";"2007";"2013";38;0;0;0;0;17
2021-11-01;"car_manufacturer_2";"car_modification_16";"2007";"2013";58;20;0;0;0;10
2021-12-01;"car_manufacturer_2";"car_modification_16";"2007";"2013";60;2;0;0;0;3
2022-01-01;"car_manufacturer_2";"car_modification_16";"2007";"2013";56;0;0;0;1;16
2022-02-01;"car_manufacturer_2";"car_modification_16";"2007";"2013";56;1;0;0;1;8
2021-05-01;"car_manufacturer_2";"car_modification_17";"2014";"2020";0;0;0;0;0;12
2021-06-01;"car_manufacturer_2";"car_modification_17";"2014";"2020";0;0;0;0;0;9
2021-07-01;"car_manufacturer_2";"car_modification_17";"2014";"2020";0;0;0;0;0;18
2021-08-01;"car_manufacturer_2";"car_modification_17";"2014";"2020";0;0;0;0;0;7
2021-09-01;"car_manufacturer_2";"car_modification_17";"2014";"2020";1;1;0;0;0;8
2021-10-01;"car_manufacturer_2";"car_modification_17";"2014";"2020";1;0;0;0;0;13
2021-11-01;"car_manufacturer_2";"car_modification_17";"2014";"2020";2;1;0;0;0;8
2021-12-01;"car_manufacturer_2";"car_modification_17";"2014";"2020";3;1;0;0;0;0
2022-01-01;"car_manufacturer_2";"car_modification_17";"2014";"2020";1;0;0;0;0;4
2022-02-01;"car_manufacturer_2";"car_modification_17";"2014";"2020";1;0;0;0;0;1
2021-05-01;"car_manufacturer_2";"car_modification_18";"1990";"1997";0;0;0;0;0;12
2021-06-01;"car_manufacturer_2";"car_modification_18";"1990";"1997";0;0;0;0;0;8
2021-07-01;"car_manufacturer_2";"car_modification_18";"1990";"1997";0;0;0;0;0;5
2021-08-01;"car_manufacturer_2";"car_modification_18";"1990";"1997";0;0;0;0;0;7
2021-09-01;"car_manufacturer_2";"car_modification_18";"1990";"1997";0;0;0;0;0;15
2021-10-01;"car_manufacturer_2";"car_modification_18";"1990";"1997";1;1;0;0;0;14
2021-11-01;"car_manufacturer_2";"car_modification_18";"1990";"1997";5;4;0;0;0;2
2021-12-01;"car_manufacturer_2";"car_modification_18";"1990";"1997";5;0;0;0;0;0
2022-01-01;"car_manufacturer_2";"car_modification_18";"1990";"1997";1;0;0;0;0;8
2022-02-01;"car_manufacturer_2";"car_modification_18";"1990";"1997";1;0;0;0;0;1
2021-05-01;"car_manufacturer_2";"car_modification_19";"1997";"2015";0;0;0;0;0;11
2021-06-01;"car_manufacturer_2";"car_modification_19";"1997";"2015";0;0;0;0;0;6
2021-07-01;"car_manufacturer_2";"car_modification_19";"1997";"2015";0;0;0;0;0;5
2021-08-01;"car_manufacturer_2";"car_modification_19";"1997";"2015";0;0;0;0;0;4
2021-09-01;"car_manufacturer_2";"car_modification_19";"1997";"2015";0;0;0;0;0;8
2021-10-01;"car_manufacturer_2";"car_modification_19";"1997";"2015";0;0;0;0;0;12
2021-11-01;"car_manufacturer_2";"car_modification_19";"1997";"2015";0;0;0;0;0;5
2021-12-01;"car_manufacturer_2";"car_modification_19";"1997";"2015";3;3;0;0;0;0
2022-01-01;"car_manufacturer_2";"car_modification_19";"1997";"2015";3;0;0;0;0;3
2022-02-01;"car_manufacturer_2";"car_modification_19";"1997";"2015";3;0;0;0;0;0
2021-05-01;"car_manufacturer_2";"car_modification_20";"2007";"2012";4;0;0;0;0;12
2021-06-01;"car_manufacturer_2";"car_modification_20";"2007";"2012";4;0;0;0;0;13
2021-07-01;"car_manufacturer_2";"car_modification_20";"2007";"2012";5;1;0;0;0;7
2021-08-01;"car_manufacturer_2";"car_modification_20";"2007";"2012";5;0;0;0;0;8
2021-09-01;"car_manufacturer_2";"car_modification_20";"2007";"2012";5;0;0;0;0;9
2021-10-01;"car_manufacturer_2";"car_modification_20";"2007";"2012";5;0;0;0;0;18
2021-11-01;"car_manufacturer_2";"car_modification_20";"2007";"2012";6;1;0;0;0;8
2021-12-01;"car_manufacturer_2";"car_modification_20";"2007";"2012";6;0;0;0;0;1
2022-01-01;"car_manufacturer_2";"car_modification_20";"2007";"2012";5;0;0;0;0;7
2022-02-01;"car_manufacturer_2";"car_modification_20";"2007";"2012";5;0;0;0;0;1
2021-05-01;"car_manufacturer_2";"car_modification_21";"2004";"2012";82;0;0;0;0;20
2021-06-01;"car_manufacturer_2";"car_modification_21";"2004";"2012";82;0;0;0;1;14
2021-07-01;"car_manufacturer_2";"car_modification_21";"2004";"2012";81;0;0;0;0;13
2021-08-01;"car_manufacturer_2";"car_modification_21";"2004";"2012";81;0;0;0;1;22
2021-09-01;"car_manufacturer_2";"car_modification_21";"2004";"2012";80;0;0;0;1;19
2021-10-01;"car_manufacturer_2";"car_modification_21";"2004";"2012";78;0;0;0;0;13
2021-11-01;"car_manufacturer_2";"car_modification_21";"2004";"2012";78;0;0;0;0;3
2021-12-01;"car_manufacturer_2";"car_modification_21";"2004";"2012";79;1;0;0;0;7
2022-01-01;"car_manufacturer_2";"car_modification_21";"2004";"2012";78;0;0;0;0;7
2022-02-01;"car_manufacturer_2";"car_modification_21";"2004";"2012";78;0;0;0;0;3
2021-05-01;"car_manufacturer_2";"car_modification_22";"2002";"2006";0;0;0;0;0;14
2021-06-01;"car_manufacturer_2";"car_modification_22";"2002";"2006";0;0;0;0;0;7
2021-07-01;"car_manufacturer_2";"car_modification_22";"2002";"2006";0;0;0;0;0;8
2021-08-01;"car_manufacturer_2";"car_modification_22";"2002";"2006";0;0;0;0;0;7
2021-09-01;"car_manufacturer_2";"car_modification_22";"2002";"2006";0;0;0;0;0;16
2021-10-01;"car_manufacturer_2";"car_modification_22";"2002";"2006";0;0;0;0;0;10
2021-11-01;"car_manufacturer_2";"car_modification_22";"2002";"2006";1;1;0;0;0;8
2021-12-01;"car_manufacturer_2";"car_modification_22";"2002";"2006";1;0;0;0;0;1
2022-01-01;"car_manufacturer_2";"car_modification_22";"2002";"2006";0;0;0;0;0;5
2022-02-01;"car_manufacturer_2";"car_modification_22";"2002";"2006";0;0;0;0;0;2
2021-05-01;"car_manufacturer_2";"car_modification_23";"1981";"1991";0;0;0;0;0;10
2021-06-01;"car_manufacturer_2";"car_modification_23";"1981";"1991";0;0;0;0;0;5
2021-07-01;"car_manufacturer_2";"car_modification_23";"1981";"1991";0;0;0;0;0;4
2021-08-01;"car_manufacturer_2";"car_modification_23";"1981";"1991";0;0;0;0;0;4
2021-09-01;"car_manufacturer_2";"car_modification_23";"1981";"1991";0;0;0;0;0;5
2021-10-01;"car_manufacturer_2";"car_modification_23";"1981";"1991";0;0;0;0;0;9
2021-11-01;"car_manufacturer_2";"car_modification_23";"1981";"1991";6;6;0;0;0;2
2021-12-01;"car_manufacturer_2";"car_modification_23";"1981";"1991";6;0;0;0;0;1
2022-01-01;"car_manufacturer_2";"car_modification_23";"1981";"1991";1;0;0;0;0;1
2022-02-01;"car_manufacturer_2";"car_modification_23";"1981";"1991";1;0;0;0;0;0
2021-05-01;"car_manufacturer_2";"car_modification_24";"1991";"2002";0;0;0;0;0;9
2021-06-01;"car_manufacturer_2";"car_modification_24";"1991";"2002";0;0;0;0;0;5
2021-07-01;"car_manufacturer_2";"car_modification_24";"1991";"2002";0;0;0;0;0;4
2021-08-01;"car_manufacturer_2";"car_modification_24";"1991";"2002";0;0;0;0;0;4
2021-09-01;"car_manufacturer_2";"car_modification_24";"1991";"2002";0;0;0;0;0;8
2021-10-01;"car_manufacturer_2";"car_modification_24";"1991";"2002";0;0;0;0;0;9
2021-11-01;"car_manufacturer_2";"car_modification_24";"1991";"2002";1;1;0;0;0;2
2021-12-01;"car_manufacturer_2";"car_modification_24";"1991";"2002";1;0;0;0;0;0
2022-01-01;"car_manufacturer_2";"car_modification_24";"1991";"2002";0;0;0;0;0;1
2022-02-01;"car_manufacturer_2";"car_modification_24";"1991";"2002";0;0;0;0;0;0
2021-05-01;"car_manufacturer_2";"car_modification_25";"1995";"1998";2;0;0;0;0;8
2021-06-01;"car_manufacturer_2";"car_modification_25";"1995";"1998";1;0;0;0;0;6
2021-07-01;"car_manufacturer_2";"car_modification_25";"1995";"1998";1;0;0;0;0;4
2021-08-01;"car_manufacturer_2";"car_modification_25";"1995";"1998";1;0;0;0;0;5
2021-09-01;"car_manufacturer_2";"car_modification_25";"1995";"1998";3;2;0;0;0;8
2021-10-01;"car_manufacturer_2";"car_modification_25";"1995";"1998";2;0;0;0;0;12
2021-11-01;"car_manufacturer_2";"car_modification_25";"1995";"1998";21;19;0;0;0;3
2021-12-01;"car_manufacturer_2";"car_modification_25";"1995";"1998";6;0;0;0;0;0
2022-01-01;"car_manufacturer_2";"car_modification_25";"1995";"1998";4;3;0;0;0;2
2022-02-01;"car_manufacturer_2";"car_modification_25";"1995";"1998";4;0;0;0;0;0
2021-05-01;"car_manufacturer_2";"car_modification_26";"1999";"2003";6;0;0;0;0;8
2021-06-01;"car_manufacturer_2";"car_modification_26";"1999";"2003";61;55;0;0;0;7
2021-07-01;"car_manufacturer_2";"car_modification_26";"1999";"2003";86;25;0;0;0;5
2021-08-01;"car_manufacturer_2";"car_modification_26";"1999";"2003";86;0;0;0;0;7
2021-09-01;"car_manufacturer_2";"car_modification_26";"1999";"2003";90;4;0;0;0;9
2021-10-01;"car_manufacturer_2";"car_modification_26";"1999";"2003";90;0;0;0;0;34
2021-11-01;"car_manufacturer_2";"car_modification_26";"1999";"2003";97;7;0;0;0;5
2021-12-01;"car_manufacturer_2";"car_modification_26";"1999";"2003";97;0;0;0;0;7
2022-01-01;"car_manufacturer_2";"car_modification_26";"1999";"2003";97;8;0;0;0;5
2022-02-01;"car_manufacturer_2";"car_modification_26";"1999";"2003";97;0;0;0;0;11
2021-05-01;"car_manufacturer_2";"car_modification_27";"2004";"2008";63;0;0;0;0;14
2021-06-01;"car_manufacturer_2";"car_modification_27";"2004";"2008";63;0;0;0;0;14
2021-07-01;"car_manufacturer_2";"car_modification_27";"2004";"2008";62;0;0;0;0;9
2021-08-01;"car_manufacturer_2";"car_modification_27";"2004";"2008";61;0;0;0;0;7
2021-09-01;"car_manufacturer_2";"car_modification_27";"2004";"2008";61;0;0;0;0;14
2021-10-01;"car_manufacturer_2";"car_modification_27";"2004";"2008";63;2;0;0;0;14
2021-11-01;"car_manufacturer_2";"car_modification_27";"2004";"2008";66;3;0;0;0;6
2021-12-01;"car_manufacturer_2";"car_modification_27";"2004";"2008";66;0;0;0;0;5
2022-01-01;"car_manufacturer_2";"car_modification_27";"2004";"2008";64;1;0;0;0;6
2022-02-01;"car_manufacturer_2";"car_modification_27";"2004";"2008";64;0;0;0;0;6
2021-05-01;"car_manufacturer_2";"car_modification_28";"2008";"2014";2;0;0;0;0;10
2021-06-01;"car_manufacturer_2";"car_modification_28";"2008";"2014";2;0;0;0;0;5
2021-07-01;"car_manufacturer_2";"car_modification_28";"2008";"2014";2;0;0;0;0;5
2021-08-01;"car_manufacturer_2";"car_modification_28";"2008";"2014";2;0;0;0;0;4
2021-09-01;"car_manufacturer_2";"car_modification_28";"2008";"2014";2;0;0;0;0;16
2021-10-01;"car_manufacturer_2";"car_modification_28";"2008";"2014";2;0;0;0;0;11
2021-11-01;"car_manufacturer_2";"car_modification_28";"2008";"2014";2;0;0;0;0;5
2021-12-01;"car_manufacturer_2";"car_modification_28";"2008";"2014";4;2;0;0;0;1
2022-01-01;"car_manufacturer_2";"car_modification_28";"2008";"2014";2;0;0;0;0;3
2022-02-01;"car_manufacturer_2";"car_modification_28";"2008";"2014";2;0;0;0;0;1
2021-05-01;"car_manufacturer_2";"car_modification_29";"2004";"2008";0;0;0;0;0;20
2021-06-01;"car_manufacturer_2";"car_modification_29";"2004";"2008";0;0;0;0;0;14
2021-07-01;"car_manufacturer_2";"car_modification_29";"2004";"2008";0;0;0;0;0;17
2021-08-01;"car_manufacturer_2";"car_modification_29";"2004";"2008";0;0;0;0;0;11
2021-09-01;"car_manufacturer_2";"car_modification_29";"2004";"2008";0;0;0;0;0;15
2021-10-01;"car_manufacturer_2";"car_modification_29";"2004";"2008";0;0;0;0;0;17
2021-11-01;"car_manufacturer_2";"car_modification_29";"2004";"2008";1;1;0;0;0;6
2021-12-01;"car_manufacturer_2";"car_modification_29";"2004";"2008";2;1;0;0;0;3
2022-01-01;"car_manufacturer_2";"car_modification_29";"2004";"2008";2;0;0;0;0;8
2022-02-01;"car_manufacturer_2";"car_modification_29";"2004";"2008";2;0;0;0;0;5
2021-05-01;"car_manufacturer_2";"car_modification_30";"2009";"2014";0;0;0;0;0;13
2021-06-01;"car_manufacturer_2";"car_modification_30";"2009";"2014";0;0;0;0;0;7
2021-07-01;"car_manufacturer_2";"car_modification_30";"2009";"2014";0;0;0;0;0;12
2021-08-01;"car_manufacturer_2";"car_modification_30";"2009";"2014";0;0;0;0;0;12
2021-09-01;"car_manufacturer_2";"car_modification_30";"2009";"2014";0;0;0;0;0;16
2021-10-01;"car_manufacturer_2";"car_modification_30";"2009";"2014";0;0;0;0;0;14
2021-11-01;"car_manufacturer_2";"car_modification_30";"2009";"2014";1;1;0;0;0;7
2021-12-01;"car_manufacturer_2";"car_modification_30";"2009";"2014";1;0;0;0;0;1
2022-01-01;"car_manufacturer_2";"car_modification_30";"2009";"2014";0;0;0;0;0;9
2022-02-01;"car_manufacturer_2";"car_modification_30";"2009";"2014";0;0;0;0;0;2
